NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6319,7.7552,7.4898,6.7355,6.7619,6.3203,6.4154,6.4349,6.5867,6.4728,6.5531,6.5191,7.5348,9.4778,7.3547,6.5204,6.6012,7.269,6.8173,5.9036,5.6506,5.6234,5.8972,6.1365,5.9514,6.6708,6.9563,7.035,7.5292,7.0285,6.1949,6.0108,5.8214,6.4474,8.3711,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9335,7.8691,8.7537,8.5073,7.8587,6.6343,6.489,5.9888,6.0996,5.9027,6.5256,7.0853,8.1653,9.215,6.8591,6.0426,6.5597,6.3189,7.5073,6.3108,5.8089,5.8462,5.9321,6.0252,5.9914,6.2351,7.2249,6.8919,6.9223,6.3198,5.9897,5.9685,5.7174,6.3947,8.8436,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1232,7.8745,8.3651,9.2899,8.7094,7.0824,6.3225,6.0671,6.17,6.2112,6.6858,6.958,8.0283,6.7015,5.8383,5.9389,6.3395,6.9068,6.974,5.6543,6.3663,6.139,6.4486,5.9516,5.8144,7.1095,6.6745,6.0987,6.1166,6.2049,6.5258,5.9831,6.3569,8.0606,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9772,6.6746,7.2501,8.2388,9.6922,8.7553,8.0422,6.8016,6.1588,5.6586,6.2145,6.4296,6.29,6.1983,5.9817,5.9494,6.1518,6.4427,6.7052,6.4858,6.3585,6.3301,6.4645,6.0504,6.0634,6.8378,7.2687,6.5002,6.1132,6.3302,5.8709,5.7715,6.4892,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8634,6.4269,6.5231,7.0681,9.1153,10.022,10.305,9.0561,6.7275,5.8196,6.0247,6.0994,5.4494,6.2373,6.1228,5.8393,6.1135,6.6568,7.255,6.8655,6.2797,6.068,6.2638,6.1039,6.5686,6.7537,6.2939,6.0077,5.8701,5.7399,5.9123,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2001,6.7902,6.3395,6.3025,7.3334,8.5116,10.277,10.245,7.4427,5.8244,6.0088,5.806,5.9454,5.5462,5.6296,5.6033,5.9086,6.4108,7.0811,7.1645,6.7055,6.8739,6.2046,6.0675,6.0134,6.6012,5.8324,6.0225,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1216,6.4587,6.2219,6.8292,7.4387,8.5436,9.5425,8.4828,6.4355,6.3805,5.8831,5.7185,5.9082,5.703,5.6496,6.4841,6.4201,7.2401,7.3181,7.0302,6.956,6.1896,6.208,6.8206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3191,6.5627,6.4971,6.5837,6.7218,6.9324,8.4865,8.8313,7.3054,6.7989,6.1178,5.6503,5.9867,5.8012,6.144,7.3195,6.8845,7.5396,7.3395,7.5188,6.8418,5.8653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9096,7.3595,7.752,7.0545,6.6719,6.6651,7.7668,7.659,7.4908,7.7571,7.5078,6.5245,6.2182,5.868,6.3236,6.8496,6.7807,6.9337,7.0864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9135,7.4409,8.5702,7.6463,7.0798,6.5924,6.8011,6.986,7.522,7.5652,7.1256,6.9605,6.5338,6.3916,5.9494,6.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7507,9.0432,8.4319,7.4179,7.143,7.2097,7.4577,7.7241,6.4097,6.2608,6.9225,6.9746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.731,11.187,10.352,9.5058,8.2576,7.4724,7.1347,6.4494,6.2076,6.9111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.859,10.691,10.346,9.4499,8.8034,7.9527,7.2293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.059,9.6837,9.1485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
