"utm_x","utm_y","var1.pred","var1.var"
320986.810273,5637991.255845,NaN,NaN
320987.810273,5637991.255845,NaN,NaN
320988.810273,5637991.255845,NaN,NaN
320989.810273,5637991.255845,NaN,NaN
320990.810273,5637991.255845,NaN,NaN
320991.810273,5637991.255845,NaN,NaN
320992.810273,5637991.255845,NaN,NaN
320993.810273,5637991.255845,NaN,NaN
320994.810273,5637991.255845,NaN,NaN
320995.810273,5637991.255845,NaN,NaN
320996.810273,5637991.255845,NaN,NaN
320997.810273,5637991.255845,NaN,NaN
320998.810273,5637991.255845,NaN,NaN
320999.810273,5637991.255845,NaN,NaN
321000.810273,5637991.255845,NaN,NaN
321001.810273,5637991.255845,NaN,NaN
321002.810273,5637991.255845,NaN,NaN
321003.810273,5637991.255845,NaN,NaN
321004.810273,5637991.255845,NaN,NaN
321005.810273,5637991.255845,NaN,NaN
321006.810273,5637991.255845,NaN,NaN
321007.810273,5637991.255845,NaN,NaN
321008.810273,5637991.255845,NaN,NaN
321009.810273,5637991.255845,NaN,NaN
321010.810273,5637991.255845,NaN,NaN
321011.810273,5637991.255845,NaN,NaN
321012.810273,5637991.255845,NaN,NaN
321013.810273,5637991.255845,NaN,NaN
321014.810273,5637991.255845,NaN,NaN
321015.810273,5637991.255845,NaN,NaN
321016.810273,5637991.255845,NaN,NaN
321017.810273,5637991.255845,NaN,NaN
321018.810273,5637991.255845,NaN,NaN
321019.810273,5637991.255845,NaN,NaN
321020.810273,5637991.255845,NaN,NaN
321021.810273,5637991.255845,NaN,NaN
321022.810273,5637991.255845,NaN,NaN
321023.810273,5637991.255845,NaN,NaN
321024.810273,5637991.255845,NaN,NaN
321025.810273,5637991.255845,NaN,NaN
321026.810273,5637991.255845,NaN,NaN
321027.810273,5637991.255845,NaN,NaN
321028.810273,5637991.255845,NaN,NaN
321029.810273,5637991.255845,NaN,NaN
321030.810273,5637991.255845,NaN,NaN
321031.810273,5637991.255845,NaN,NaN
321032.810273,5637991.255845,NaN,NaN
321033.810273,5637991.255845,NaN,NaN
321034.810273,5637991.255845,NaN,NaN
321035.810273,5637991.255845,NaN,NaN
321036.810273,5637991.255845,NaN,NaN
321037.810273,5637991.255845,NaN,NaN
321038.810273,5637991.255845,NaN,NaN
321039.810273,5637991.255845,NaN,NaN
321040.810273,5637991.255845,NaN,NaN
321041.810273,5637991.255845,NaN,NaN
321042.810273,5637991.255845,NaN,NaN
321043.810273,5637991.255845,NaN,NaN
321044.810273,5637991.255845,NaN,NaN
321045.810273,5637991.255845,NaN,NaN
321046.810273,5637991.255845,NaN,NaN
321047.810273,5637991.255845,NaN,NaN
321048.810273,5637991.255845,NaN,NaN
321049.810273,5637991.255845,NaN,NaN
321050.810273,5637991.255845,NaN,NaN
321051.810273,5637991.255845,NaN,NaN
321052.810273,5637991.255845,NaN,NaN
321053.810273,5637991.255845,NaN,NaN
